BGGId,Name,YearPublished,GameWeight,BayesAvgRating,MinPlayers,MaxPlayers,MfgPlaytime,MfgAgeRec,Kickstarted,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens
1,Die Macher,1986,4.3206,7.10363,3,5,240,14,0,0,1,0,0,0,0,0,0
2,Dragonmaster,1981,1.963,5.78447,3,4,30,12,0,0,1,0,0,0,0,0,0
3,Samurai,1998,2.4859,7.23994,2,4,60,10,0,0,1,0,0,0,0,0,0
4,Tal der Könige,1992,2.6667,5.67954,2,4,60,12,0,0,0,0,0,0,0,0,0
5,Acquire,1964,2.5031,7.14189,2,6,90,12,0,0,1,0,0,0,0,0,0
6,Mare Mediterraneum,1989,3,5.54614,2,6,240,12,0,0,0,0,0,0,0,0,0
7,Cathedral,1978,1.795,6.13713,2,2,20,8,0,0,0,0,0,0,1,0,0
8,Lords of Creation,1993,2.4,5.56602,2,5,120,12,0,0,0,0,0,0,0,0,0
9,El Caballero,1998,3.1824,5.9229,2,4,90,13,0,0,1,0,0,0,0,0,0
10,Elfenland,1998,2.1578,6.47733,2,6,60,10,0,0,0,0,1,0,0,0,0
11,Bohnanza,1997,1.6751,6.93413,2,7,45,13,0,0,0,0,1,0,0,0,0
12,Ra,1999,2.3498,7.31019,2,5,60,12,0,0,1,0,0,0,0,0,0
13,Catan,1995,2.3139,6.97148,3,4,120,10,0,0,1,0,1,0,0,0,0
14,Basari,1998,1.8571,6.12462,3,4,25,10,0,0,1,0,1,0,0,0,0
15,Cosmic Encounter,1977,2.3747,6.4313,2,6,90,12,0,1,1,0,0,0,0,0,0
16,MarraCash,1996,2.1505,5.99028,3,4,60,12,0,0,1,0,0,0,0,0,0
17,Button Men,1999,1.527,5.7612,2,2,5,10,0,0,0,0,0,1,0,0,0
18,RoboRally,1994,2.4302,6.93168,2,8,120,12,0,1,1,0,0,0,0,0,0
19,Wacky Wacky West,1991,1.8365,5.89185,2,4,45,9,0,0,0,0,1,0,0,0,0
20,Full Metal Planète,1988,3.1639,6.06722,2,4,90,12,0,0,1,0,0,0,0,0,0
21,Gateway to the Stars,1994,3,5.49908,1,7,0,12,0,0,0,0,0,0,0,0,0
22,Magic Realm,1979,4.5277,6.35327,1,16,240,12,0,1,1,0,0,0,0,0,0
23,Divine Right,1979,3.1781,5.83517,2,6,360,12,0,1,0,1,0,0,0,0,0
24,Twilight Imperium,1997,3.4906,5.79383,2,6,240,12,0,1,0,0,0,0,0,0,0
25,Battlemist,1998,3.2,5.55843,2,6,200,12,0,1,0,1,0,0,0,0,0
26,Age of Renaissance,1996,3.8598,6.34875,3,6,300,12,0,0,1,0,0,0,0,0,0
27,Supremacy: The Game of the Superpowers,1984,3.1271,5.50941,2,6,340,12,0,0,0,1,0,0,0,0,0
28,Illuminati,1987,2.6472,6.15386,2,8,180,12,0,1,1,0,0,0,0,0,0
29,Terrain Vague,1993,3.25,5.55015,2,4,120,10,0,0,0,0,0,0,0,0,0
30,Dark Tower,1981,1.81,5.97458,1,4,90,10,0,1,0,0,0,0,0,0,0
31,Dark World,1991,1.9259,5.42431,2,5,90,10,0,1,0,0,0,0,0,0,0
32,Buffalo Chess,1975,1.5417,5.58813,2,2,30,8,0,0,0,0,0,0,1,0,0
34,Arkham Horror,1987,2.3958,5.73702,1,8,180,12,0,1,0,0,0,0,0,0,0
36,Federation & Empire,1986,4.4032,5.65032,2,8,300,12,0,0,0,1,0,0,0,0,0
37,Dragon Masters,1991,2.0909,5.51344,2,4,120,12,0,0,0,1,0,0,0,0,0
38,Runes,1981,1.9,5.5373,2,4,30,10,0,0,0,0,0,0,0,0,0
39,Darkover,1979,2.5,5.48713,2,4,60,12,0,0,0,0,0,0,0,0,0
40,Borderlands,1982,2.7826,5.64689,2,4,120,12,0,1,0,1,0,0,0,0,0
41,Can't Stop,1980,1.1553,6.69638,2,4,30,9,0,0,0,0,1,0,0,0,0
42,Tigris & Euphrates,1997,3.5064,7.52665,2,4,90,12,0,0,1,0,0,0,0,0,0
43,Airlines,1990,2.4242,5.68861,2,6,90,12,0,0,1,0,0,0,0,0,0
44,David & Goliath,1997,1.6257,5.96607,3,6,60,8,0,0,0,0,1,0,0,0,0
45,Perudo,1800,1.2625,6.72095,2,6,30,8,0,0,0,0,1,0,0,1,0
46,Medici,1995,2.2555,6.83642,2,6,60,10,1,0,1,0,0,0,0,0,0
47,Chinatown,1999,2.2685,7.04135,3,5,60,12,0,0,1,0,0,0,0,0,0
48,Krieg und Frieden,1999,2.4638,5.6736,2,4,90,12,0,0,1,0,0,0,0,0,0
49,Mamma Mia!,1998,1.3693,6.23895,2,5,30,10,0,0,0,0,1,0,0,0,0
50,Lost Cities,1999,1.4921,7.08937,2,2,30,10,0,0,0,0,1,0,0,0,0
51,Ricochet Robots,1999,2.4107,6.721,1,99,30,10,0,0,0,0,0,0,1,0,0
52,Mighty Empires,1990,2.6,5.61972,2,3,300,14,0,0,0,1,0,0,0,0,0
53,Brauerei,1996,3,5.50801,3,6,0,14,0,0,0,0,0,0,0,0,0
54,Tikal,1999,2.7906,7.1497,2,4,90,10,0,0,1,0,0,0,0,0,0
55,Sophie's World,1998,1.5556,5.4623,2,6,90,12,0,0,0,0,0,0,0,0,0
57,Schoko & Co.,1987,2.9149,5.71998,2,4,180,13,0,0,1,0,0,0,0,0,0
58,Kings & Things,1986,2.6437,5.96851,2,4,120,12,0,1,0,1,0,0,0,0,0
59,Giganten,1999,2.5693,6.0456,3,4,90,10,0,0,1,0,0,0,0,0,0
60,Vinci,1999,2.7813,6.59208,3,6,120,14,0,0,1,0,0,0,0,0,0
61,Fossil,1998,1.7451,5.47935,2,6,40,10,0,0,0,0,1,0,1,0,0
62,Curse of the Mummy's Tomb,1988,1.88,5.46353,1,4,120,12,0,1,0,0,0,0,0,0,0
63,Samurai: Game of Politics and Warfare in Feudal Japan,1979,2.6296,5.66973,2,8,180,12,0,0,0,1,0,0,0,0,0
64,Joan of Arc,1998,2.5424,5.64511,3,6,180,12,0,0,1,1,0,0,0,0,0
66,Löwenherz,1997,2.9286,6.39967,2,4,90,12,0,0,1,0,0,0,0,0,0
67,Conquest,1974,2.5,5.64851,2,4,120,10,0,0,0,1,0,0,0,0,0
68,Successors (First/Second Edition),1997,3.194,5.83265,2,4,180,12,0,0,0,1,0,0,0,0,0
69,Bollox,1999,2.4,5.53105,2,2,20,10,0,0,0,0,0,0,1,0,0
70,Big City,1999,2.2171,6.29463,2,5,60,10,0,0,1,0,1,0,0,0,0
71,Civilization,1980,3.6564,7.0687,2,7,360,12,0,0,1,0,0,0,0,0,0
72,Verräter,1998,2.5676,6.13668,3,4,60,12,0,0,1,0,0,0,0,0,0
73,Show Manager,1996,2.0943,6.24813,2,6,60,10,0,0,1,0,1,0,0,0,0
74,Apples to Apples,1999,1.1588,5.68574,4,10,30,12,0,0,0,0,0,0,0,1,0
75,Falling,1998,1.2231,5.48446,4,8,5,8,0,0,0,0,0,0,0,1,0
76,Air Baron,1996,2.5484,5.75602,2,6,120,10,0,0,1,0,0,0,0,0,0
77,EastFront,1991,3.5889,6.09109,2,2,240,12,0,0,0,1,0,0,0,0,0
78,"WestFront: The War in Europe, 1943-45",1992,3.4706,5.62392,2,2,240,12,0,0,0,1,0,0,0,0,0
79,MedFront: War in North Africa 1940-43,1994,3.0769,5.55212,2,2,180,12,0,0,0,1,0,0,0,0,0
82,Bobby Lee: The Civil War in Virginia 1861-1865,1993,2.9184,5.70342,2,2,240,12,1,0,0,1,0,0,0,0,0
83,Sam Grant: The Civil War in the West 1862-1864,1997,2.8889,5.55994,2,2,180,12,0,0,0,1,0,0,0,0,0
84,Rommel in the Desert,1982,3.4183,6.24443,2,2,150,12,0,0,0,1,0,0,0,0,0
85,Quebec 1759,1972,2.1512,5.90494,2,2,60,12,0,0,0,1,0,0,0,0,0
87,Victory: World War II,1998,2.5962,5.66892,2,4,120,12,0,0,0,1,0,0,0,0,0
88,Torres,1999,2.8656,6.82406,2,4,60,12,0,0,1,0,0,0,1,0,0
89,Blue vs. Gray,1999,2.8438,5.75504,2,4,120,12,0,0,0,1,0,0,0,0,0
90,Star Wars: Episode 1 – Clash of the Lightsabers,1999,1.4262,5.6869,2,2,20,8,0,0,0,0,1,0,0,0,0
91,Paths of Glory,1999,3.8421,7.33726,2,2,480,14,0,0,0,1,0,0,0,0,0
93,El Grande,1995,3.0515,7.57836,2,5,120,12,0,0,1,0,0,0,0,0,0
94,Union Pacific,1999,2.5508,6.71426,2,6,90,12,0,0,1,0,0,0,0,0,0
95,Igel Ärgern,1990,1.379,5.83979,2,6,30,8,0,0,0,0,1,0,0,0,0
96,Broadsides & Boarding Parties,1982,1.8298,5.64642,2,2,60,10,0,1,0,0,0,0,0,0,0
97,Conquest of the Empire,1984,2.5244,5.75321,2,6,240,10,0,1,0,1,0,0,0,0,0
98,Axis & Allies,1981,3.0394,6.29226,2,5,180,12,0,0,0,1,0,0,0,0,0
99,Fortress America,1986,2.6434,6.15881,2,4,180,12,0,1,0,1,0,0,0,0,0
101,Detroit-Cleveland Grand Prix,1996,1.7054,6.00093,2,6,60,8,0,0,0,0,1,0,0,0,0
102,Klunker,1999,1.7674,5.74867,3,5,30,10,0,0,1,0,1,0,0,0,0
103,Titan,1980,3.4573,6.45443,2,6,240,12,0,1,0,1,0,0,0,0,0
104,Extrablatt,1991,2.9,5.70072,3,4,90,14,0,0,1,0,0,0,0,0,0
105,Colossal Arena,1997,2.0204,6.51219,2,5,60,8,0,0,1,0,1,0,0,0,0
106,Mystery Rummy: Jack the Ripper,1998,1.7483,6.44364,2,4,45,10,0,0,1,0,1,0,0,0,0
108,TAMSK,1998,2.2866,6.0562,2,2,20,8,0,0,0,0,0,0,1,0,0
109,Wettstreit der Baumeister,1994,2,5.60359,3,4,45,10,0,0,1,0,1,0,0,0,0
110,Auf Achse,1987,1.9589,5.85889,2,6,60,8,0,0,0,0,1,0,0,0,0
111,Rheinländer,1999,2.435,6.03364,3,5,45,12,0,0,1,0,0,0,0,0,0
112,Condottiere,1995,1.9587,6.61154,2,6,45,14,0,0,1,0,0,0,0,0,0
113,Mit List und Tücke,1999,1.8889,5.64374,4,6,60,10,0,0,0,0,0,0,0,0,0
114,Ransom,1994,1.625,5.53412,2,6,45,12,0,0,0,0,0,0,0,0,0
115,I'm the Boss!,1994,1.9682,6.35728,3,6,60,12,0,0,1,0,1,0,0,0,0
116,Guillotine,1998,1.2675,6.40497,2,5,30,12,0,0,0,0,1,0,0,0,0
117,Ta Yü,1999,2.0671,6.17296,2,4,45,10,0,0,0,0,0,0,1,0,0
118,Modern Art,1992,2.2995,7.24916,3,5,45,10,0,0,1,0,0,0,0,0,0
119,Kingdoms,1994,1.8297,6.33227,2,4,45,9,0,0,1,0,0,0,1,0,0
120,Hoity Toity,1990,1.8669,6.24725,2,6,45,12,0,0,0,0,1,0,0,0,0
121,Dune,1979,3.4504,7.06902,2,6,180,12,0,1,1,0,0,0,0,0,0
122,Quo Vadis?,1991,2.0816,6.04032,3,5,45,12,0,0,1,0,0,0,0,0,0
124,Primordial Soup,1997,2.7309,6.54287,3,4,90,12,0,0,1,0,0,0,0,0,0
125,Money!,1999,1.5493,6.13066,3,5,30,10,0,0,0,0,1,0,0,0,0
126,The Really Nasty Horse Racing Game,1989,1.6753,5.70766,2,6,90,12,0,0,0,0,0,0,0,1,0
127,Princess Ryan's Star Marines,1997,2.4583,5.48284,1,6,120,10,0,0,0,1,0,0,0,0,0
128,Take it Easy!,1983,1.4817,6.18873,1,8,20,10,0,0,0,0,1,0,1,0,0
